SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,Label
146.75.8.84,172.17.0.2,443,40800,2024-04-01 18:37:25,0.329389,2055,6238.824004444593,0,0.0,13681.2875,116.96703595457996,102.75,66.0,66,0.9425732566465284,0.3141910855488428,1.138365313426569,0.01392922513859,0.1180221383410332,0.1627579,0.218156,0.0,-1.408162081589895,1.3790455103406074,0.725139230360144,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,146.75.8.84,40800,443,2024-04-01 18:37:25,0.326115,72411,222041.30444781747,0,0.0,17106183.34215501,4135.96220269903,3148.304347826087,480.0,66,1.9354415372206368,0.7452448056257982,1.3137110475214773,0.0111259915596521,0.1054798158874586,0.176166,0.20452,0.0,-0.8064291664175507,1.6701394339554,0.5987524033437703,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
8.8.8.8,172.17.0.2,443,57658,2024-04-01 18:37:25,0.233238,1536,6585.547809533609,0,0.0,23284.77685950413,152.593502022544,139.63636363636363,66.0,66,1.447696579350109,0.4825655264500363,1.0927920066718646,0.005666638048876,0.0752770751881077,0.0715151818181818,0.046218,0.0,1.008162780832042,0.950026042317326,1.0526027239850988,-1,-1,-1,,-1,,-0.0,1.0,DoH
172.17.0.2,8.8.8.8,57658,443,2024-04-01 18:37:25,0.220953,6471,29286.771394821524,0,0.0,527263.5555555555,726.1291590037929,719.0,93.0,66,2.5863167409177,0.899289047827081,1.0099153810901154,0.0036842958069876,0.0606984003659705,0.0550071111111111,0.033944,0.0,1.0410378684173573,0.9062365857988878,1.103464609209587,-1,-1,-1,,-1,,-0.0,1.0,DoH
146.75.8.81,172.17.0.2,443,33538,2024-04-01 18:37:25,0.261931,2247,8578.595126197357,0,0.0,11979.429111531192,109.45057839742644,97.69565217391305,66.0,66,0.8687661400606629,0.2895887133535543,1.1203218972589266,0.0065908666955198,0.0811841529827086,0.0523030434782608,0.025609,0.0,0.9864256445693188,0.6442518836083789,1.552187933699344,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,146.75.8.81,33538,443,2024-04-01 18:37:25,0.258721,96302,372223.36029931856,0,0.0,22314666.685950413,4723.8402477169375,4377.363636363636,2954.0,66,0.9039448171759557,0.9126819304372848,1.0791518914432996,0.0067832627122396,0.0823605652739201,0.0519808181818181,0.022921,0.0,1.0585096672844263,0.6311372197232613,1.584441495049961,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
157.240.249.35,172.17.0.2,443,44590,2024-04-01 18:37:25,0.286491,2144,7483.655682028405,0,0.0,12983.324263038558,113.94439109951205,102.0952380952381,66.0,66,0.9503382592228188,0.3167794197409396,1.1160598008814144,0.0078262793988843,0.0884662613592569,0.1298008571428571,0.177501,0.0,-1.6175706577031115,1.467235702611446,0.6815537532382555,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,157.240.249.35,44590,443,2024-04-01 18:37:25,0.27329,27624,101079.4394233232,0,0.0,1401756.333333333,1183.9579102879177,1534.6666666666667,1598.0,2826,-0.1604786777882966,-1.0906919258804595,0.7714756148704937,0.0062606589959166,0.0791243261956565,0.1224625,0.164313,0.0,-1.5867623275494251,1.5477225006274038,0.6461106558796087,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
8.8.4.4,172.17.0.2,443,46056,2024-04-01 18:37:25,0.420976,1599,3798.3162935654286,0,0.0,21690.52083333333,147.27702072398577,133.25,66.0,66,1.3698674715731989,0.4566224905243996,1.1052684482100246,0.0198924911431875,0.1410407428482546,0.10514525,0.0440825,0.0,1.2988321409870316,0.7454955772115117,1.3413895810629075,-1,-1,-1,,-1,,-0.0,1.0,DoH
172.17.0.2,8.8.4.4,46056,443,2024-04-01 18:37:25,0.408192,6580,16119.86516149263,0,0.0,546205.6543209876,739.0572740464622,731.1111111111111,93.0,66,2.590236779420407,0.8999452876899736,1.0108686119176535,0.0141375358049876,0.1189013700719535,0.0751328888888888,0.030853,0.0,1.117225702162038,0.6318925412164886,1.5825475611325444,-1,-1,-1,,-1,,-0.0,1.0,DoH
157.240.249.174,172.17.0.2,443,35824,2024-04-01 18:37:26,0.429715,4161,9683.162095807686,0,0.0,5654.67358708189,75.19756370443055,81.58823529411765,66.0,66,0.6218912366119335,0.2072970788706444,0.9216716531905692,0.0092846669231518,0.0963569765152055,0.2037975098039215,0.239421,0.0,-1.1091098377435151,2.11502599162357,0.4728074283533338,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,157.240.249.174,35824,443,2024-04-01 18:37:26,0.416992,87073,208812.15946588904,0,0.0,1563215.5203993055,1250.2861754011783,1814.0208333333333,1446.0,1446,0.8830478347453056,0.2943492782484351,0.689234738888709,0.0075171642746002,0.0867015817306712,0.1940230625,0.226725,0.0,-1.131534287399217,2.2378260999056625,0.4468622472685236,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
104.16.249.249,172.17.0.2,443,50206,2024-04-01 18:37:26,0.289985,1494,5151.990620204493,0,0.0,25663.840000000004,160.19937577905853,149.4,66.0,66,1.561803838393648,0.5206012794645494,1.0722849784408202,0.01061321224224,0.1030204457485988,0.0840414,0.036301,0.0,1.390221125129891,0.8157739892242994,1.2258297190265612,-1,-1,-1,,-1,,-0.0,1.0,DoH
172.17.0.2,104.16.249.249,50206,443,2024-04-01 18:37:26,0.278907,4840,17353.45473580799,0,0.0,562819.1020408163,750.2127045317324,691.4285714285714,74.0,66,2.469014058408773,0.8336683285295087,1.0850183743227533,0.0080502818333469,0.0897233628067235,0.0609482857142857,0.024836,0.0,1.2074542655766218,0.6792911434402733,1.4721228293004014,-1,-1,-1,,-1,,-0.0,1.0,DoH
162.159.153.4,172.17.0.2,443,53762,2024-04-01 18:37:26,0.283225,1432,5056.05084296937,0,0.0,24204.36,155.57750480066196,143.2,66.0,66,1.4886470913435974,0.4962156971145324,1.0864350893900976,0.01040204235564,0.101990403252659,0.0881724,0.036787,0.0,1.5114775026245515,0.8645166328205612,1.156715743845682,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,162.159.153.4,53762,443,2024-04-01 18:37:26,0.271887,4145,15245.304115312612,0,0.0,377608.69387755095,614.4987338290869,592.1428571428571,74.0,66,2.529587915897824,0.8562147131928761,1.0377541946450202,0.0076632894793877,0.0875402163544719,0.0674385714285714,0.024976,0.0,1.4551907636358814,0.7703724555065756,1.2980734096242157,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
162.159.153.4,172.17.0.2,443,53764,2024-04-01 18:37:26,0.17317,1758,10151.873881157244,0,0.0,17400.02666666667,131.90916066242963,117.2,66.0,66,1.16443770264811,0.3881459008827033,1.1255047838091266,0.0023885559826933,0.0488728552746136,0.0760112,0.093306,0.0,-1.061619987382866,1.555284617051686,0.6429691318465393,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,162.159.153.4,53764,443,2024-04-01 18:37:26,0.162008,35391,218452.17520122463,0,0.0,8362612.354166667,2891.8181744651006,2949.25,2647.0,66,0.3135570583263664,0.9970370977882504,0.980526633708604,0.0016242584334722,0.0403020896911341,0.0690738333333333,0.0821555,0.0,-0.9737708466425576,1.7139020299617,0.5834639218102488,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
146.75.10.194,172.17.0.2,443,43002,2024-04-01 18:37:26,0.141252,6703,47454.195338827056,0,0.0,3286.293950617283,57.32620649072536,74.47777777777777,66.0,66,0.443659800469234,0.1478866001564113,0.7697088742600751,0.0004309074205166,0.0207583096738791,0.0417078333333333,0.040129,0.0,0.2281736843901158,2.009211442963275,0.4977076969684958,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,146.75.10.194,43002,443,2024-04-01 18:37:26,0.138021,214610,1554908.3110541147,0,0.0,597287.1955961119,772.8435777025724,1511.338028169014,1409.0,66,0.3972525532523684,1.8701559667035883,0.511363813586344,0.000278130151161,0.0166772345177813,0.0386277464788732,0.0376545,0.0,0.1750733572467707,2.3161961557647968,0.4317423623690475,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
104.16.248.249,172.17.0.2,443,48310,2024-04-01 18:37:26,0.204037,1491,7307.498149845371,0,0.0,25577.289999999997,159.92901550375402,149.1,66.0,66,1.5588165738076976,0.5196055246025658,1.0726292119634744,0.00504451640929,0.071024759128701,0.0636651,0.030956,0.0,1.3815928586563395,0.8963789639136277,1.1155995848384912,-1,-1,-1,,-1,,-0.0,1.0,DoH
172.17.0.2,104.16.248.249,48310,443,2024-04-01 18:37:26,0.194044,5131,26442.45635010616,0,0.0,610104.8571428572,781.0920926131931,733.0,74.0,66,2.5310715838715265,0.8539325980992961,1.0656099489948063,0.0037797099722448,0.0614793458996181,0.0455525714285714,0.020606,0.0,1.217314745148892,0.7409410552764898,1.3496350254567007,-1,-1,-1,,-1,,-0.0,1.0,DoH
208.80.154.224,172.17.0.2,443,34058,2024-04-01 18:37:26,0.319824,2005,6269.07299014458,0,0.0,14381.933518005537,119.92469936591684,105.52631578947368,66.0,66,0.9887783583814574,0.3295927861271525,1.136443535138364,0.0078890264011024,0.0888201914043338,0.125733947368421,0.112209,0.0,0.4568200255340069,1.4156009504195477,0.7064137670320338,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,208.80.154.224,34058,443,2024-04-01 18:37:26,0.286123,25249,88245.2651482055,0,0.0,1185557.0034602075,1088.8328629593284,1485.235294117647,1514.0,1514,-0.0792537776757773,-0.0264179258919257,0.733104624749835,0.0054882631206989,0.0740828125863142,0.0960503529411764,0.078516,0.0,0.71005752869117,1.2965268135475785,0.7712914145321708,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
104.18.33.218,172.17.0.2,443,47072,2024-04-01 18:37:27,0.173909,1434,8245.691712332311,0,0.0,24240.640000000007,155.69405897464426,143.4,66.0,66,1.491386386411926,0.497128795470642,1.0857326288329443,0.00401872088221,0.063393382006405,0.0593377,0.022511,0.0,1.7427702467244524,0.9360235741012322,1.0683491609281293,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,104.18.33.218,47072,443,2024-04-01 18:37:27,0.170617,4691,27494.329404455595,0,0.0,978585.5510204082,989.234831079258,670.1428571428571,74.0,66,1.8078908215124116,0.610717332388848,1.4761551518982747,0.0028881901569795,0.0537418845685522,0.0489768571428571,0.022419,0.0,1.4825228416941945,0.9113349398900052,1.0972914087115944,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.64.154.38,172.17.0.2,443,49274,2024-04-01 18:37:27,0.10337,1927,18641.77227435426,0,0.0,21696.382222222222,147.296918576806,128.46666666666667,66.0,66,1.272260151880114,0.4240867172933713,1.1465769479253192,0.0008769986098488,0.0296141623188785,0.0381475333333333,0.042037,0.0,-0.394014183969052,1.2881516931854875,0.7763060866900593,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,172.64.154.38,49274,443,2024-04-01 18:37:27,0.100475,38682,384991.29136601137,0,0.0,10166205.285714284,3188.448727157814,2763.0,1753.0,66,0.9503053865008972,0.8458658836280263,1.153980719202973,0.0005156313572091,0.0227075176364388,0.0362310714285714,0.0391515,0.0,-0.3858319458145624,1.595554036713868,0.6267415436831933,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
104.16.249.249,172.17.0.2,443,50222,2024-04-01 18:37:27,0.246352,1504,6105.085406247969,0,0.0,25964.04,161.13360915712153,150.4,66.0,66,1.5713667764563286,0.5237889254854429,1.0713670821617125,0.00769199648776,0.0877040277738713,0.0708818,0.0286675,0.0,1.443980432991348,0.8081932130044885,1.2373278863385433,-1,-1,-1,,-1,,-0.0,1.0,DoH
172.17.0.2,104.16.249.249,50222,443,2024-04-01 18:37:27,0.236324,4882,20658.079585653595,0,0.0,568535.9591836735,754.0132354167754,697.4285714285714,74.0,66,2.48044149152359,0.8374237238416032,1.0811332748704277,0.0058678084284081,0.0766016215781896,0.0501268571428571,0.018317,0.0,1.2457904867087384,0.6543837599011025,1.5281552833021568,-1,-1,-1,,-1,,-0.0,1.0,DoH
142.250.190.78,172.17.0.2,443,40302,2024-04-01 18:37:27,1.381134,4667,3379.1073132657657,0,0.0,4946.599827635736,70.3320682735531,79.10169491525424,66.0,66,0.5588501193067086,0.1862833731022362,0.889134782116913,0.0520565488397736,0.2281590428621526,0.1877984576271186,0.167006,0.0,0.2733942608579515,0.8231032847581728,1.2149143594947494,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,142.250.190.78,40302,443,2024-04-01 18:37:27,1.36918,145825,106505.35356928964,0,0.0,764679.0281969212,874.459277609267,1800.3086419753083,1466.0,1466,1.1469098122760852,0.3823032707586951,0.4857274231877293,0.0199389008634634,0.1412051729345051,0.1603422345679012,0.162915,0.0,-0.0546601525701629,1.1355266328824398,0.8806486532698781,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
23.206.214.8,172.17.0.2,443,42152,2024-04-01 18:37:27,1.282334,2370,1848.19243660388,0,0.0,13297.47107438016,115.31466114237236,107.72727272727272,66.0,66,1.0855672378663406,0.3618557459554469,1.070431453642275,0.3147781304151487,0.5610509160630154,0.5826231818181818,0.618387,0.0,-0.1912330084020465,1.038449746961546,0.962973897317566,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,23.206.214.8,42152,443,2024-04-01 18:37:27,1.279454,54952,42949.57067624159,0,0.0,9705553.87603306,3115.3737939504244,2497.818181818182,1274.0,66,1.1784956760514402,0.780586325320062,1.2472380162125003,0.3085791346293409,0.5554989960651062,0.5913555,0.6167595,0.0,-0.1371955674804994,1.0645482785547489,0.9393655695518284,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
104.16.248.249,172.17.0.2,443,48324,2024-04-01 18:37:28,0.221423,1429,6453.710770787136,0,0.0,27687.061728395067,166.3942959611148,158.77777777777777,66.0,66,1.6727336218206534,0.5575778739402178,1.0479696736529274,0.0063549934929135,0.0797182130564501,0.0743064444444444,0.037029,0.0,1.4028454608502385,0.9321137741989584,1.0728304072744572,-1,-1,-1,,-1,,-0.0,1.0,DoH
172.17.0.2,104.16.248.249,48324,443,2024-04-01 18:37:28,0.20879,5101,24431.246707217775,0,0.0,1527904.1388888888,1236.0841957119624,850.1666666666666,70.0,66,1.8934794313520964,0.634395835968925,1.453931616206974,0.0049027210634722,0.070019433470089,0.0549321666666666,0.0304305,0.0,1.049779987600156,0.7845274368027078,1.274652680185969,-1,-1,-1,,-1,,-0.0,1.0,DoH
8.8.8.8,172.17.0.2,443,57692,2024-04-01 18:37:28,0.211563,1468,6938.831459187098,0,0.0,24967.560000000005,158.0112654211718,146.8,66.0,66,1.5340678359476074,0.5113559453158691,1.0763710178553936,0.00506253660441,0.0711515045828969,0.1142303,0.1350395,0.0,-0.8773897385018345,1.6054516439200948,0.6228776829168522,-1,-1,-1,,-1,,-0.0,1.0,DoH
172.17.0.2,8.8.8.8,57692,443,2024-04-01 18:37:28,0.195542,6399,32724.42748872365,0,0.0,951571.1111111112,975.485064524881,711.0,74.0,66,1.959025380804544,0.6612095084348146,1.3719902454639676,0.0033186397002222,0.0576076357805301,0.110052,0.132366,0.0,-1.1620334542981638,1.910371750357347,0.5234583267957891,-1,-1,-1,,-1,,-0.0,1.0,DoH
23.203.120.129,172.17.0.2,443,36592,2024-04-01 18:37:28,0.135364,2069,15284.713808693596,0,0.0,13710.7475,117.09290115117996,103.45,66.0,66,0.9594945457448668,0.3198315152482889,1.1318791798084094,0.00167259693904,0.040897395259845,0.0403354,0.0325185,0.0,0.5734032656848675,0.9862584094592232,1.0139330528479968,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,23.203.120.129,36592,443,2024-04-01 18:37:28,0.132567,64050,483151.9156351128,0,0.0,17834444.346020762,4223.084695577483,3767.647058823529,1514.0,7306,1.600948516033981,-0.8378598101245566,1.1208811838378956,0.0013316714102629,0.0364920732524609,0.0359578235294117,0.029735,0.0,0.5115760471892709,0.9853598418661194,1.0148576768728004,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
8.8.4.4,172.17.0.2,443,46088,2024-04-01 18:37:28,0.144572,1597,11046.399026090805,0,0.0,21645.909722222223,147.12548970937098,133.08333333333334,66.0,66,1.367879898972949,0.4559599663243163,1.1055140115920172,0.0021367376190763,0.0462248593191627,0.0609979166666666,0.0436665,0.0,1.124811427569786,1.31959118026736,0.757810460507467,-1,-1,-1,,-1,,-0.0,1.0,DoH
172.17.0.2,8.8.4.4,46088,443,2024-04-01 18:37:28,0.131909,6620,50186.113153765094,0,0.0,553767.1358024692,744.155316988644,735.5555555555555,93.0,66,2.5904090485670523,0.899752431071823,1.0116915185646218,0.0013165967121728,0.0362849378140963,0.0468447777777777,0.030423,0.0,1.357735090679809,1.2910254391997062,0.7745780754094899,-1,-1,-1,,-1,,-0.0,1.0,DoH
104.16.249.249,172.17.0.2,443,50236,2024-04-01 18:37:28,0.12107,1426,11778.31006855538,0,0.0,27596.469135802465,166.12185026600946,158.44444444444446,66.0,66,1.669457286258502,0.5564857620861674,1.0484548754516725,0.0017912436744691,0.0423230867786027,0.0484165555555555,0.031096,0.0,1.2277381122620985,1.1439750557143558,0.8741449343714487,-1,-1,-1,,-1,,-0.0,1.0,DoH
172.17.0.2,104.16.249.249,50236,443,2024-04-01 18:37:28,0.110963,4868,43870.47934897218,0,0.0,1488158.222222222,1219.9009067224365,811.3333333333334,70.0,66,1.8230988990534676,0.6109785878722351,1.50357548075896,0.0012590343991388,0.0354828747304793,0.0356088333333333,0.025601,0.0,0.84614057423623,1.0035498421086442,0.9964627146956794,-1,-1,-1,,-1,,-0.0,1.0,DoH
23.203.120.129,172.17.0.2,443,36598,2024-04-01 18:37:28,0.122009,2069,16957.765410748387,0,0.0,13710.7475,117.09290115117996,103.45,66.0,66,0.9594945457448668,0.3198315152482889,1.1318791798084094,0.0013188734999475,0.0363162979934285,0.04765345,0.0546355,0.0,-0.5767699671312928,1.3121780752163383,0.7620916847243696,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
